category,item,specification,qty,prototype_unit_krw,prototype_subtotal_krw,target_50unit_subtotal_krw,source_or_basis
구조,3030 알루미늄 프로파일 절단 세트,"1700x4, 680x8, 560x12 mm",1,210000,210000,125000,국내 소매 절단·화물 포함 견적
구조,브라켓·T너트·M6 볼트,3030용 보강 브라켓 48개 포함,1,85000,85000,50000,국내 소매 견적
외장,투명 폴리카보네이트 패널,4T 재단·도어 포함,1,210000,210000,118000,국내 판재 재단 견적
외장,도어 하드웨어·자석 씰,힌지 6·래치 6·손잡이 3,1,42000,42000,25000,국내 소매 견적
재배,탈착식 방수 트레이,610x470x40 mm,2,39000,78000,44000,주문 절곡 PP/ABS 목표
재배,개별 화분,상단 75-80 mm·배수형,48,1200,57600,26000,48개 묶음 단가
출력,PETG 필라멘트,고정구 1.4 kg 예상,1,28000,28000,15000,2 kg 구매 안분
광원,24V 풀스펙트럼 LED 바,40 W·길이 600 mm·방열판 포함,4,44000,176000,108000,샘플 구매 예산
제어,XIAO ESP32-S3 Sense,구역별 카메라 포함,2,25520,51040,34000,https://www.devicemart.co.kr/goods/view?no=14991199
센서,SHT40 온습도 보드,I2C·3.3 V,2,9900,19800,13000,국내 모듈 소매 추정
환기,120 mm 저소음 팬,24 V 또는 12 V,4,12000,48000,30000,국내 소매 추정
가습,24V 초음파 미스트 모듈,구역별·저수위 보호형,2,28000,56000,34000,국내 소매 추정
가습,가습수 탱크·덕트·체크밸브,구역별 3 L 분리형,2,23000,46000,26000,시판 용기 조합
제어,4채널 MOSFET 보드,3.3 V 로직 호환,2,8500,17000,9000,국내 모듈 소매 추정
전원,DC-DC 벅 컨버터,24 V to 5 V 3 A,2,6000,12000,6000,국내 모듈 소매 추정
전원,KC 24V 6.25A 이상 외장 어댑터,구역별 150 W 이상·접지형,2,39900,79800,56000,24V 150W KC 완제품 견적 필요
안전,인라인 퓨즈·분기 단자,구역별 메인 5 A·부하별 1-3 A,2,7000,14000,8000,국내 전장 소매 추정
안전,누수 센서,구역별 접점식 또는 로프형,2,6000,12000,7000,국내 모듈 소매 추정
기록,microSD 카드,32 GB·고내구 권장,2,8000,16000,10000,국내 소매 추정
배선,케이블·JST·글랜드·열수축튜브,2구역 하네스 1식,1,35000,35000,21000,소모품 안분
마감,캐스터·볼트·실란트·받침판,브레이크 캐스터 4개 포함,1,36000,36000,21000,국내 소매 추정
물류,개별 배송·화물비 합계,판매처 통합 전 소매 구매,1,90000,90000,0,구매처 수에 따른 예산
양산,포장재,이중 골판지·모서리 보강·설명서,1,0,0,55000,50대 기준 목표
양산,조립·검사 인건비,약 4.0시간,1,0,0,85000,50대 기준 목표
양산,초기불량·보증 충당,목표 제조원가의 약 5%,1,0,0,45000,50대 기준 목표
TOTAL,총계,,1,,1419240,971000,도구·인증·금형·부가세 환급·개발비 제외
