category,item,specification,qty,prototype_unit_krw,prototype_subtotal_krw,target_50unit_subtotal_krw,source_or_basis
구조,2020 알루미늄 프로파일 절단 세트,"560x4, 400x4, 600x4, 520x4, 360x2 mm",1,62000,62000,38000,국내 소매 절단·배송 포함 견적
구조,브라켓·T너트·M5 볼트,2020용 코너브라켓 24개 포함,1,36000,36000,21000,국내 소매 견적
외장,투명 폴리카보네이트 패널,3T 재단 5장,1,82000,82000,46000,국내 판재 재단 견적
외장,도어 하드웨어·실리콘 씰,힌지 2·래치 2·손잡이 1,1,24000,24000,14000,국내 소매 견적
재배,탈착식 방수 트레이,520x340x50 mm 또는 근사 규격,1,18000,18000,11000,시판 PP/ABS 트레이
재배,개별 화분,상단 75-80 mm·배수형,12,1800,21600,9600,12개 묶음 단가
출력,PETG 필라멘트,고정구 0.65 kg 예상,1,15000,15000,8000,1 kg 롤 안분
광원,24V 풀스펙트럼 LED 바,30 W·길이 500 mm·방열판 포함,2,34000,68000,42000,샘플 구매 예산
제어,XIAO ESP32-S3 Sense,카메라 포함,1,25520,25520,17000,https://www.devicemart.co.kr/goods/view?no=14991199
센서,SHT40 온습도 보드,I2C·3.3 V,1,9900,9900,6500,국내 모듈 소매 추정
환기,80 mm 저소음 팬,24 V 또는 12 V,2,9000,18000,11000,국내 소매 추정
가습,24V 초음파 미스트 모듈,저수위 보호형 권장,1,24000,24000,14000,국내 소매 추정
가습,가습수 탱크·덕트·체크밸브,2 L 분리형,1,18000,18000,11000,시판 용기 조합
제어,4채널 MOSFET 보드,3.3 V 로직 호환,1,8500,8500,4500,국내 모듈 소매 추정
전원,DC-DC 벅 컨버터,24 V to 5 V 3 A,1,6000,6000,3000,국내 모듈 소매 추정
전원,KC 24V 5A 외장 어댑터,120 W·접지형,1,29910,29910,21000,https://search.danawa.com/mobile/dsearch.php?keyword=24v+5a+adapter
안전,인라인 퓨즈·분기 단자,메인 5 A·부하별 1-3 A,1,7000,7000,4000,국내 전장 소매 추정
안전,누수 센서,접점식 또는 로프형,1,6000,6000,3500,국내 모듈 소매 추정
기록,microSD 카드,32 GB·고내구 권장,1,8000,8000,5000,국내 소매 추정
배선,케이블·JST·글랜드·열수축튜브,24/5 V 하네스 1식,1,18000,18000,10000,소모품 안분
마감,볼트·방수테이프·실란트,1식,1,18000,18000,10000,소모품 안분
물류,개별 배송비 합계,판매처 통합 전 소매 구매,1,45000,45000,0,구매처 수에 따른 예산
양산,포장재,이중 골판지·완충재·설명서,1,0,0,24000,50대 기준 목표
양산,조립·검사 인건비,약 2.0시간,1,0,0,45000,50대 기준 목표
양산,초기불량·보증 충당,목표 제조원가의 약 5%,1,0,0,20000,50대 기준 목표
TOTAL,총계,,1,,568430,399100,도구·인증·금형·부가세 환급·개발비 제외
