구분,부품,규격,수량,예상단가원,구매후보,필수여부
제어,XIAO ESP32-S3 Sense,카메라 포함 프리솔더 권장,1,25520,https://www.devicemart.co.kr/goods/view?no=14991199,필수
센서,SHT40 온습도 모듈,I2C 3.3V Qwiic/Grove,1,9000,https://www.devicemart.co.kr/goods/search?keyword=SHT40,필수
센서,수직 플로트 스위치,PP 재질 NO/NC 선택형,1,4000,https://www.devicemart.co.kr/goods/search?keyword=%ED%94%8C%EB%A1%9C%ED%8A%B8%20%EC%8A%A4%EC%9C%84%EC%B9%98,필수
구동,5V USB 미니 수중펌프,80-120 L/h,1,7000,https://search.shopping.naver.com/search/all?query=5V%20USB%20%EB%AF%B8%EB%8B%88%20%EC%88%98%EC%A4%91%ED%8E%8C%ED%94%84,필수
구동,2채널 MOSFET 스위치 모듈,3.3V 로직 5-24V 부하,1,7000,https://www.devicemart.co.kr/goods/search?keyword=MOSFET%20%EB%AA%A8%EB%93%88,필수
조명,12V 풀스펙트럼 식물 LED 바,길이 180-200mm 10-15W,1,18000,https://search.shopping.naver.com/search/all?query=12V%20%EC%8B%9D%EB%AC%BC%20LED%20%EB%B0%94%2015W,필수
전원,KC 인증 12V 3A 어댑터,DC 5.5x2.1mm 센터 플러스,1,15000,https://search.shopping.naver.com/search/all?query=KC%2012V%203A%20%EC%96%B4%EB%8C%91%ED%84%B0%205.5%202.1,필수
전원,DC-DC 벅 컨버터,12V 입력 5V 3A 출력,1,5000,https://www.devicemart.co.kr/goods/search?keyword=12V%205V%203A%20%EB%B2%85,필수
배관,실리콘 튜브,내경 4mm 외경 6mm 2m,1,5000,https://search.shopping.naver.com/search/all?query=%EC%8B%A4%EB%A6%AC%EC%BD%98%20%ED%98%B8%EC%8A%A4%204x6mm,필수
재배,네트팟,상단 외경 50mm,2,1500,https://search.shopping.naver.com/search/all?query=50mm%20%EB%84%A4%ED%8A%B8%ED%8C%9F,필수
탱크,PP 식품용기,외경 180x120mm 높이 90-110mm 약 1.5L,1,6000,https://search.shopping.naver.com/search/all?query=PP%20%EC%8B%9D%ED%92%88%EC%9A%A9%EA%B8%B0%201.5L%20%EC%A7%81%EC%82%AC%EA%B0%81,필수
체결,M4 볼트/너트 세트,M4x12 8개 M4x20 4개,1,5000,https://www.devicemart.co.kr/goods/search?keyword=M4%20%EB%B3%BC%ED%8A%B8,필수
배선,실리콘 전선 및 JST 커넥터,22AWG/26AWG 혼합,1,8000,https://www.devicemart.co.kr/goods/search?keyword=JST%20%EC%BB%A4%EB%84%A5%ED%84%B0,필수
저장,microSD 카드,16-32GB FAT32,1,8000,https://search.shopping.naver.com/search/all?query=microSD%2032GB,권장
센서,BH1750 조도 센서,I2C 3.3V,1,4000,https://www.devicemart.co.kr/goods/search?keyword=BH1750,선택

